,participant,condition,item,response
13,13,experimental,filler3,3
14,13,experimental,target7,2
15,13,experimental,target6,4
16,13,experimental,target3,6
17,13,experimental,filler6,4
18,13,experimental,filler7,4
19,13,experimental,filler1,4
0,14,experimental,filler2,3
1,14,experimental,filler10,4
2,14,experimental,filler6,2
3,14,experimental,target10,3
4,14,experimental,target7,2
5,14,experimental,filler3,1
6,14,experimental,target3,2
7,14,experimental,target8,4
8,14,experimental,target9,1
9,14,experimental,target4,4
10,14,experimental,target5,3
11,14,experimental,target1,1
12,14,experimental,filler4,7
13,14,experimental,filler8,3
14,14,experimental,filler5,2
15,14,experimental,filler1,6
16,14,experimental,target2,1
17,14,experimental,filler7,3
18,14,experimental,filler9,3
19,14,experimental,target6,4
0,15,experimental,target8,4
1,15,experimental,filler6,4
2,15,experimental,filler10,5
3,15,experimental,target3,4
4,15,experimental,target10,3
5,15,experimental,target4,2
6,15,experimental,filler3,5
7,15,experimental,filler1,3
8,15,experimental,filler9,3
9,15,experimental,filler5,3
10,15,experimental,filler4,5
11,15,experimental,filler2,2
12,15,experimental,target1,3
13,15,experimental,target6,3
14,15,experimental,filler8,2
15,15,experimental,target5,3
16,15,experimental,target2,5
17,15,experimental,target9,2
18,15,experimental,filler7,3
19,15,experimental,target7,4
0,16,experimental,target9,4
1,16,experimental,filler8,2
2,16,experimental,target4,1
3,16,experimental,target3,1
4,16,experimental,filler5,3
5,16,experimental,filler3,5
6,16,experimental,filler6,3
7,16,experimental,filler7,4
8,16,experimental,target6,4
9,16,experimental,target7,7
10,16,experimental,filler1,3
11,16,experimental,target2,6
12,16,experimental,target8,5
13,16,experimental,target10,5
14,16,experimental,filler9,2
15,16,experimental,target5,4
16,16,experimental,filler4,3
17,16,experimental,filler10,6
18,16,experimental,filler2,4
19,16,experimental,target1,5
0,17,experimental,target10,1
1,17,experimental,target6,3
2,17,experimental,filler9,5
3,17,experimental,filler6,6
4,17,experimental,target3,7
5,17,experimental,filler8,4
6,17,experimental,target8,3
7,17,experimental,filler3,5
8,17,experimental,filler10,4
9,17,experimental,target9,3
10,17,experimental,target4,4
11,17,experimental,target7,3
12,17,experimental,target1,5
13,17,experimental,filler1,6
14,17,experimental,filler7,3
15,17,experimental,target2,2
16,17,experimental,filler4,6
17,17,experimental,target5,6
18,17,experimental,filler2,5
19,17,experimental,filler5,5
0,18,experimental,filler10,4
1,18,experimental,target3,6
2,18,experimental,target4,4
3,18,experimental,filler3,4
4,18,experimental,filler6,2
5,18,experimental,filler5,3
6,18,experimental,target5,1
7,18,experimental,target9,5
8,18,experimental,target8,3
9,18,experimental,target7,5
10,18,experimental,filler2,4
11,18,experimental,target1,4
12,18,experimental,filler4,4
13,18,experimental,filler9,3
14,18,experimental,target6,3
15,18,experimental,filler7,2
16,18,experimental,filler1,4
17,18,experimental,target10,4
18,18,experimental,filler8,6
19,18,experimental,target2,4
0,19,experimental,target5,2
1,19,experimental,target9,2
2,19,experimental,target8,6
3,19,experimental,target4,6
4,19,experimental,target10,4
5,19,experimental,filler6,6
6,19,experimental,target1,5
7,19,experimental,filler8,1
8,19,experimental,filler10,3
9,19,experimental,filler2,2
10,19,experimental,filler3,4
11,19,experimental,target7,3
12,19,experimental,filler5,5
13,19,experimental,filler9,5
14,19,experimental,filler7,2
15,19,experimental,target6,1
16,19,experimental,target2,5
17,19,experimental,filler4,3
18,19,experimental,target3,1
19,19,experimental,filler1,3
0,20,experimental,target8,4
1,20,experimental,target2,4
2,20,experimental,filler5,5
3,20,experimental,filler7,3
4,20,experimental,filler8,5
5,20,experimental,filler9,5
6,20,experimental,target1,2
7,20,experimental,filler10,7
8,20,experimental,filler4,2
9,20,experimental,filler1,5
10,20,experimental,target5,5
11,20,experimental,target9,2
12,20,experimental,target7,5
13,20,experimental,filler2,2
14,20,experimental,target6,3
15,20,experimental,target4,4
16,20,experimental,filler6,4
17,20,experimental,target10,3
18,20,experimental,filler3,4
19,20,experimental,target3,1
0,21,experimental,filler6,3
1,21,experimental,target7,1
2,21,experimental,filler3,5
3,21,experimental,filler5,5
4,21,experimental,target8,6
5,21,experimental,filler1,7
6,21,experimental,filler8,5
7,21,experimental,filler9,5
8,21,experimental,filler4,4
9,21,experimental,target9,3
10,21,experimental,target6,3
11,21,experimental,filler7,7
12,21,experimental,filler10,4
13,21,experimental,target4,6
14,21,experimental,target5,0
15,21,experimental,filler2,5
16,21,experimental,target3,2
17,21,experimental,target1,4
18,21,experimental,target2,3
19,21,experimental,target10,7
0,22,experimental,target1,6
1,22,experimental,filler1,4
2,22,experimental,filler9,4
3,22,experimental,target6,5
4,22,experimental,filler6,4
5,22,experimental,filler7,7
6,22,experimental,target7,3
7,22,experimental,filler4,3
8,22,experimental,filler5,3
9,22,experimental,filler10,4
10,22,experimental,filler8,4
11,22,experimental,target5,3
12,22,experimental,target10,6
13,22,experimental,filler2,3
14,22,experimental,target8,3
15,22,experimental,target3,5
16,22,experimental,target2,5
17,22,experimental,target9,7
18,22,experimental,filler3,3
19,22,experimental,target4,1
0,23,experimental,target8,4
1,23,experimental,target10,1
2,23,experimental,target9,4
3,23,experimental,filler4,3
4,23,experimental,filler5,2
5,23,experimental,filler1,3
6,23,experimental,filler8,4
7,23,experimental,target7,4
8,23,experimental,target6,3
9,23,experimental,filler7,3
10,23,experimental,target2,3
11,23,experimental,target4,1
12,23,experimental,filler6,2
13,23,experimental,filler3,6
14,23,experimental,filler9,5
15,23,experimental,filler10,5
16,23,experimental,target5,2
17,23,experimental,target3,1
18,23,experimental,filler2,4
19,23,experimental,target1,3
0,24,experimental,filler4,2
1,24,experimental,target4,3
2,24,experimental,filler8,1
3,24,experimental,filler10,5
4,24,experimental,target5,2
5,24,experimental,target10,4
6,24,experimental,target8,4
7,24,experimental,filler9,4
8,24,experimental,target7,6
9,24,experimental,target2,4
10,24,experimental,filler1,5
11,24,experimental,filler6,3
12,24,experimental,target9,3
13,24,experimental,target3,6
14,24,experimental,filler5,7
15,24,experimental,target6,3
16,24,experimental,filler2,4
17,24,experimental,filler7,3
18,24,experimental,target1,4
19,24,experimental,filler3,5
0,25,experimental,filler8,4
1,25,experimental,target3,5
2,25,experimental,target1,3
3,25,experimental,target8,3
4,25,experimental,filler5,2
5,25,experimental,target7,4
6,25,experimental,filler1,1
7,25,experimental,target9,6
8,25,experimental,target10,4
9,25,experimental,filler4,3
10,25,experimental,filler9,3
11,25,experimental,target4,5
12,25,experimental,target2,4
13,25,experimental,filler6,4
14,25,experimental,target6,1
15,25,experimental,filler3,3
16,25,experimental,filler7,4
17,25,experimental,filler10,3
18,25,experimental,filler2,2
19,25,experimental,target5,6
0,26,control,filler1,5
1,26,control,filler8,4
2,26,control,target8,3
3,26,control,target5,4
4,26,control,target2,4
5,26,control,target9,2
6,26,control,filler7,4
7,26,control,target7,5
8,26,control,target10,3
9,26,control,filler5,2
10,26,control,filler3,7
11,26,control,filler6,3
12,26,control,filler9,4
13,26,control,filler2,4
14,26,control,filler4,4
15,26,control,target1,6
16,26,control,target6,3
17,26,control,filler10,5
18,26,control,target4,2
19,26,control,target3,4
0,27,control,filler1,5
1,27,control,filler4,6
2,27,control,target6,2
3,27,control,filler10,8
4,27,control,target8,5
5,27,control,filler2,5
6,27,control,filler9,5
7,27,control,filler7,4
8,27,control,target4,4
9,27,control,target7,3
10,27,control,target5,5
11,27,control,target10,4
12,27,control,filler5,6
13,27,control,target9,4
14,27,control,filler6,7
15,27,control,filler3,4
16,27,control,target2,2
17,27,control,target3,7
18,27,control,target1,3
19,27,control,filler8,3
0,28,control,filler6,3
1,28,control,target7,4
2,28,control,target6,4
3,28,control,target1,5
4,28,control,target4,2
5,28,control,target9,6
6,28,control,filler8,3
7,28,control,target8,4
8,28,control,target3,5
9,28,control,filler3,3
10,28,control,target2,6
11,28,control,filler2,1
12,28,control,target5,5
13,28,control,filler4,5
14,28,control,filler9,4
15,28,control,filler5,2
16,28,control,target10,4
17,28,control,filler7,4
18,28,control,filler1,5
19,28,control,filler10,4
0,29,control,target1,5
1,29,control,filler5,3
2,29,control,filler4,8
3,29,control,target6,5
4,29,control,target4,4
5,29,control,target9,6
6,29,control,target2,4
7,29,control,target8,4
8,29,control,target7,3
9,29,control,filler1,5
10,29,control,target5,3
11,29,control,filler9,3
12,29,control,target3,5
13,29,control,filler2,4
14,29,control,filler6,7
15,29,control,filler3,2
16,29,control,filler10,2
17,29,control,target10,3
18,29,control,filler7,5
19,29,control,filler8,3
0,30,control,filler2,4
1,30,control,target3,6
2,30,control,target4,4
3,30,control,target9,5
4,30,control,filler7,3
5,30,control,target7,6
6,30,control,filler3,5
7,30,control,filler6,4
8,30,control,filler9,5
9,30,control,target2,4
10,30,control,filler10,1
11,30,control,target6,5
12,30,control,target1,6
13,30,control,filler4,2
14,30,control,filler5,4
15,30,control,target10,5
16,30,control,target5,3
17,30,control,target8,5
18,30,control,filler1,5
19,30,control,filler8,3
0,31,control,filler5,3
1,31,control,filler6,5
2,31,control,filler9,3
3,31,control,filler2,6
4,31,control,filler8,2
5,31,control,target9,3
6,31,control,target8,4
7,31,control,target7,5
8,31,control,target6,3
9,31,control,filler7,3
10,31,control,target1,3
11,31,control,target3,2
12,31,control,filler1,7
13,31,control,filler3,3
14,31,control,filler10,4
15,31,control,filler4,6
16,31,control,target5,5
17,31,control,target2,4
18,31,control,target10,2
19,31,control,target4,6
0,32,control,filler2,3
1,32,control,target10,4
2,32,control,filler8,5
3,32,control,filler7,5
4,32,control,filler6,4
5,32,control,filler5,3
6,32,control,target5,5
7,32,control,target2,4
8,32,control,target4,5
9,32,control,target7,3
10,32,control,filler9,2
11,32,control,target9,7
12,32,control,filler4,5
13,32,control,target8,7
14,32,control,target6,4
15,32,control,target1,4
16,32,control,filler1,7
17,32,control,target3,4
18,32,control,filler10,5
19,32,control,filler3,2
0,33,control,target4,6
1,33,control,target1,7
2,33,control,filler4,2
3,33,control,filler9,6
4,33,control,filler7,3
5,33,control,target8,5
6,33,control,filler1,3
7,33,control,filler5,6
8,33,control,filler6,2
9,33,control,filler3,5
10,33,control,target6,1
11,33,control,target7,5
12,33,control,target2,4
13,33,control,target9,7
14,33,control,filler2,5
15,33,control,target5,4
16,33,control,filler10,1
17,33,control,target10,4
18,33,control,filler8,4
19,33,control,target3,4
0,34,control,filler4,6
1,34,control,target3,5
2,34,control,target8,4
3,34,control,filler2,2
4,34,control,target9,3
5,34,control,filler8,4
6,34,control,filler6,6
7,34,control,filler1,2
8,34,control,target10,2
9,34,control,filler10,3
10,34,control,filler9,4
11,34,control,target5,4
12,34,control,target1,6
13,34,control,target2,4
14,34,control,filler7,2
15,34,control,filler3,3
16,34,control,target7,4
17,34,control,filler5,5
18,34,control,target6,5
19,34,control,target4,3
0,35,control,target3,6
1,35,control,target10,7
2,35,control,filler9,6
3,35,control,target6,6
4,35,control,filler10,3
5,35,control,target4,3
6,35,control,filler2,5
7,35,control,filler7,4
8,35,control,target7,5
9,35,control,filler6,6
10,35,control,target9,3
11,35,control,filler1,4
12,35,control,filler4,4
13,35,control,target5,4
14,35,control,target8,8
15,35,control,target2,2
16,35,control,filler3,3
17,35,control,target1,5
18,35,control,filler8,3
19,35,control,filler5,4
0,36,control,filler10,4
1,36,control,target9,1
2,36,control,target8,7
3,36,control,filler9,3
4,36,control,target1,2
5,36,control,target6,3
6,36,control,filler4,5
7,36,control,filler1,3
8,36,control,target10,5
9,36,control,target7,3
10,36,control,filler6,5
11,36,control,filler5,3
12,36,control,target5,5
13,36,control,filler7,6
14,36,control,target2,3
15,36,control,filler3,5
16,36,control,filler8,5
17,36,control,target3,6
18,36,control,target4,5
19,36,control,filler2,4
0,37,control,target6,4
1,37,control,target7,5
2,37,control,filler4,5
3,37,control,filler9,3
4,37,control,target10,2
5,37,control,filler10,1
6,37,control,target8,3
7,37,control,filler2,4
8,37,control,filler5,5
9,37,control,target9,1
10,37,control,filler3,7
11,37,control,target4,2
12,37,control,target5,5
13,37,control,target1,4
14,37,control,filler7,3
15,37,control,filler1,5
16,37,control,target2,4
17,37,control,filler8,2
18,37,control,target3,4
19,37,control,filler6,5
0,38,control,filler2,4
1,38,control,target1,3
2,38,control,target4,5
3,38,control,filler10,5
4,38,control,target6,5
5,38,control,target3,6
6,38,control,target5,3
7,38,control,target8,4
8,38,control,filler8,5
9,38,control,filler7,2
10,38,control,filler3,1
11,38,control,target7,6
12,38,control,filler4,5
13,38,control,filler1,2
14,38,control,filler5,4
15,38,control,target10,8
16,38,control,filler9,4
17,38,control,target9,2
18,38,control,filler6,5
19,38,control,target2,5
0,39,control,target6,6
1,39,control,filler10,3
2,39,control,filler1,5
3,39,control,filler6,4
4,39,control,target8,3
5,39,control,target3,6
6,39,control,target7,3
7,39,control,target9,3
8,39,control,target4,4
9,39,control,filler3,5
10,39,control,filler7,2
11,39,control,target5,1
12,39,control,filler5,5
13,39,control,filler2,2
14,39,control,filler4,2
15,39,control,target10,4
16,39,control,filler9,4
17,39,control,filler8,4
18,39,control,target1,3
19,39,control,target2,6
0,40,control,filler8,3
1,40,control,filler5,7
2,40,control,target3,4
3,40,control,target5,3
4,40,control,target4,8
5,40,control,filler2,2
6,40,control,target9,3
7,40,control,target1,5
8,40,control,filler7,4
9,40,control,target7,4
10,40,control,target2,7
11,40,control,filler1,2
12,40,control,filler4,5
13,40,control,target10,5
14,40,control,target8,6
15,40,control,filler6,4
16,40,control,filler9,6
17,40,control,target6,3
18,40,control,filler10,4
19,40,control,filler3,4
0,41,control,filler10,3
1,41,control,target3,5
2,41,control,target5,4
3,41,control,target10,1
4,41,control,target7,3
5,41,control,target1,4
6,41,control,filler6,6
7,41,control,target4,5
8,41,control,filler1,5
9,41,control,filler3,3
10,41,control,filler8,2
11,41,control,target8,5
12,41,control,filler9,6
13,41,control,target6,3
14,41,control,filler4,5
15,41,control,target2,5
16,41,control,filler7,5
17,41,control,target9,5
18,41,control,filler2,2
19,41,control,filler5,4
0,42,control,target7,2
1,42,control,target5,2
2,42,control,filler6,6
3,42,control,target10,5
4,42,control,filler3,1
5,42,control,target2,4
6,42,control,target8,5
7,42,control,target9,4
8,42,control,target4,6
9,42,control,filler8,6
10,42,control,filler7,4
11,42,control,filler10,7
12,42,control,filler5,5
13,42,control,filler4,5
14,42,control,target3,4
15,42,control,target6,2
16,42,control,target1,5
17,42,control,filler1,4
18,42,control,filler2,6
19,42,control,filler9,3
0,43,control,filler1,5
1,43,control,filler7,6
2,43,control,target5,4
3,43,control,target3,4
4,43,control,target1,4
5,43,control,target4,3
6,43,control,filler2,5
7,43,control,target2,6
8,43,control,target8,5
9,43,control,filler6,6
10,43,control,filler8,3
11,43,control,target9,5
12,43,control,filler9,6
13,43,control,filler5,3
14,43,control,filler3,3
15,43,control,target10,4
16,43,control,target7,1
17,43,control,filler10,6
18,43,control,target6,5
19,43,control,filler4,4
0,44,control,filler1,1
1,44,control,filler10,4
2,44,control,filler3,5
3,44,control,filler4,3
4,44,control,target6,5
5,44,control,filler8,2
6,44,control,target3,3
7,44,control,target5,7
8,44,control,filler9,3
9,44,control,target9,6
10,44,control,filler7,3
11,44,control,filler2,4
12,44,control,target8,4
13,44,control,target4,3
14,44,control,filler6,2
15,44,control,target1,5
16,44,control,target10,2
17,44,control,filler5,5
18,44,control,target2,5
19,44,control,target7,1
0,45,control,filler4,5
1,45,control,target8,6
2,45,control,filler5,2
3,45,control,target5,2
4,45,control,filler10,3
5,45,control,filler9,0
6,45,control,target2,6
7,45,control,target6,3
8,45,control,target1,2
9,45,control,filler8,3
10,45,control,filler7,4
11,45,control,filler1,4
12,45,control,target9,3
13,45,control,target3,6
14,45,control,target10,2
15,45,control,target7,3
16,45,control,filler6,6
17,45,control,filler3,8
18,45,control,filler2,5
19,45,control,target4,3
0,46,control,target6,5
1,46,control,filler2,4
2,46,control,filler6,4
3,46,control,filler10,5
4,46,control,target3,5
5,46,control,target10,5
6,46,control,target2,5
7,46,control,target5,2
8,46,control,filler3,6
9,46,control,filler4,4
10,46,control,filler8,6
11,46,control,target4,4
12,46,control,target1,5
13,46,control,filler1,4
14,46,control,target8,6
15,46,control,filler9,4
16,46,control,filler7,3
17,46,control,target9,3
18,46,control,target7,4
19,46,control,filler5,6
0,47,control,target8,7
1,47,control,target6,5
2,47,control,target10,4
3,47,control,target4,5
4,47,control,target5,2
5,47,control,filler5,3
6,47,control,target1,1
7,47,control,target3,2
8,47,control,filler4,4
9,47,control,target2,7
10,47,control,target7,5
11,47,control,filler1,3
12,47,control,filler6,5
13,47,control,target9,4
14,47,control,filler8,4
15,47,control,filler7,6
16,47,control,filler2,6
17,47,control,filler3,2
18,47,control,filler9,4
19,47,control,filler10,4
0,48,control,target1,1
1,48,control,target3,2
2,48,control,filler3,3
3,48,control,target9,5
4,48,control,target10,4
5,48,control,target8,7
6,48,control,filler10,5
7,48,control,filler7,1
8,48,control,filler6,5
9,48,control,filler1,5
10,48,control,filler9,5
11,48,control,target6,4
12,48,control,filler8,4
13,48,control,filler2,5
14,48,control,target5,6
15,48,control,target2,4
16,48,control,filler4,6
17,48,control,filler5,2
18,48,control,target7,5
19,48,control,target4,3
0,49,control,filler3,5
1,49,control,filler9,3
2,49,control,target1,5
3,49,control,target2,5
4,49,control,target5,5
5,49,control,filler2,6
6,49,control,target6,3
7,49,control,filler7,5
8,49,control,target3,6
9,49,control,filler6,5
10,49,control,target9,3
11,49,control,filler10,3
12,49,control,target4,4
13,49,control,target8,6
14,49,control,filler5,3
15,49,control,filler1,3
16,49,control,filler8,7
17,49,control,filler4,5
18,49,control,target10,2
19,49,control,target7,4
0,50,control,target7,6
1,50,control,filler2,3
2,50,control,filler6,4
3,50,control,target10,5
4,50,control,filler4,5
5,50,control,target5,3
6,50,control,target2,2
7,50,control,filler1,5
8,50,control,target8,3
9,50,control,filler3,3
10,50,control,target3,9
11,50,control,filler8,2
12,50,control,filler5,4
13,50,control,filler9,3
14,50,control,target9,2
15,50,control,filler10,6
16,50,control,target1,5
17,50,control,target6,4
18,50,control,filler7,7
19,50,control,target4,5
