,participant,condition,item,response
8,14,short,trial_n9,3
9,14,long,trial_n10,5
10,14,short,trial_n11,5
11,14,long,trial_n12,5
12,14,short,trial_n13,5
13,14,long,trial_n14,4
14,14,short,trial_n15,3
15,14,long,trial_n16,5
16,14,short,trial_n17,1
17,14,long,trial_n18,6
18,14,short,trial_n19,5
19,14,long,trial_n20,5
0,15,short,trial_n1,6
1,15,long,trial_n2,3
2,15,short,trial_n3,5
3,15,long,trial_n4,5
4,15,short,trial_n5,5
5,15,long,trial_n6,7
6,15,short,trial_n7,2
7,15,long,trial_n8,3
8,15,short,trial_n9,4
9,15,long,trial_n10,3
10,15,short,trial_n11,6
11,15,long,trial_n12,3
12,15,short,trial_n13,5
13,15,long,trial_n14,4
14,15,short,trial_n15,7
15,15,long,trial_n16,4
16,15,short,trial_n17,3
17,15,long,trial_n18,8
18,15,short,trial_n19,2
19,15,long,trial_n20,2
0,16,short,trial_n1,5
1,16,long,trial_n2,6
2,16,short,trial_n3,5
3,16,long,trial_n4,7
4,16,short,trial_n5,7
5,16,long,trial_n6,3
6,16,short,trial_n7,3
7,16,long,trial_n8,5
8,16,short,trial_n9,5
9,16,long,trial_n10,4
10,16,short,trial_n11,5
11,16,long,trial_n12,3
12,16,short,trial_n13,3
13,16,long,trial_n14,6
14,16,short,trial_n15,3
15,16,long,trial_n16,6
16,16,short,trial_n17,5
17,16,long,trial_n18,3
18,16,short,trial_n19,2
19,16,long,trial_n20,6
0,17,short,trial_n1,5
1,17,long,trial_n2,5
2,17,short,trial_n3,6
3,17,long,trial_n4,3
4,17,short,trial_n5,3
5,17,long,trial_n6,2
6,17,short,trial_n7,7
7,17,long,trial_n8,5
8,17,short,trial_n9,4
9,17,long,trial_n10,2
10,17,short,trial_n11,3
11,17,long,trial_n12,3
12,17,short,trial_n13,3
13,17,long,trial_n14,2
14,17,short,trial_n15,2
15,17,long,trial_n16,5
16,17,short,trial_n17,4
17,17,long,trial_n18,4
18,17,short,trial_n19,4
19,17,long,trial_n20,4
0,18,short,trial_n1,6
1,18,long,trial_n2,2
2,18,short,trial_n3,4
3,18,long,trial_n4,3
4,18,short,trial_n5,5
5,18,long,trial_n6,4
6,18,short,trial_n7,3
7,18,long,trial_n8,2
8,18,short,trial_n9,2
9,18,long,trial_n10,5
10,18,short,trial_n11,6
11,18,long,trial_n12,4
12,18,short,trial_n13,3
13,18,long,trial_n14,2
14,18,short,trial_n15,5
15,18,long,trial_n16,5
16,18,short,trial_n17,9
17,18,long,trial_n18,2
18,18,short,trial_n19,5
19,18,long,trial_n20,4
0,19,short,trial_n1,4
1,19,long,trial_n2,4
2,19,short,trial_n3,3
3,19,long,trial_n4,4
4,19,short,trial_n5,3
5,19,long,trial_n6,5
6,19,short,trial_n7,4
7,19,long,trial_n8,4
8,19,short,trial_n9,5
9,19,long,trial_n10,4
10,19,short,trial_n11,3
11,19,long,trial_n12,5
12,19,short,trial_n13,5
13,19,long,trial_n14,3
14,19,short,trial_n15,7
15,19,long,trial_n16,4
16,19,short,trial_n17,5
17,19,long,trial_n18,2
18,19,short,trial_n19,3
19,19,long,trial_n20,4
0,20,short,trial_n1,2
1,20,long,trial_n2,5
2,20,short,trial_n3,2
3,20,long,trial_n4,5
4,20,short,trial_n5,4
5,20,long,trial_n6,2
6,20,short,trial_n7,6
7,20,long,trial_n8,5
8,20,short,trial_n9,5
9,20,long,trial_n10,9
10,20,short,trial_n11,7
11,20,long,trial_n12,4
12,20,short,trial_n13,3
13,20,long,trial_n14,5
14,20,short,trial_n15,6
15,20,long,trial_n16,5
16,20,short,trial_n17,3
17,20,long,trial_n18,7
18,20,short,trial_n19,5
19,20,long,trial_n20,5
0,21,short,trial_n1,4
1,21,long,trial_n2,6
2,21,short,trial_n3,6
3,21,long,trial_n4,4
4,21,short,trial_n5,5
5,21,long,trial_n6,3
6,21,short,trial_n7,2
7,21,long,trial_n8,3
8,21,short,trial_n9,7
9,21,long,trial_n10,3
10,21,short,trial_n11,7
11,21,long,trial_n12,6
12,21,short,trial_n13,5
13,21,long,trial_n14,4
14,21,short,trial_n15,3
15,21,long,trial_n16,4
16,21,short,trial_n17,3
17,21,long,trial_n18,7
18,21,short,trial_n19,2
19,21,long,trial_n20,4
0,22,short,trial_n1,3
1,22,long,trial_n2,3
2,22,short,trial_n3,3
3,22,long,trial_n4,2
4,22,short,trial_n5,2
5,22,long,trial_n6,4
6,22,short,trial_n7,7
7,22,long,trial_n8,5
8,22,short,trial_n9,5
9,22,long,trial_n10,1
10,22,short,trial_n11,5
11,22,long,trial_n12,3
12,22,short,trial_n13,1
13,22,long,trial_n14,3
14,22,short,trial_n15,4
15,22,long,trial_n16,5
16,22,short,trial_n17,6
17,22,long,trial_n18,5
18,22,short,trial_n19,3
19,22,long,trial_n20,6
0,23,short,trial_n1,5
1,23,long,trial_n2,2
2,23,short,trial_n3,4
3,23,long,trial_n4,5
4,23,short,trial_n5,4
5,23,long,trial_n6,5
6,23,short,trial_n7,4
7,23,long,trial_n8,6
8,23,short,trial_n9,5
9,23,long,trial_n10,5
10,23,short,trial_n11,5
11,23,long,trial_n12,6
12,23,short,trial_n13,6
13,23,long,trial_n14,4
14,23,short,trial_n15,4
15,23,long,trial_n16,4
16,23,short,trial_n17,4
17,23,long,trial_n18,5
18,23,short,trial_n19,5
19,23,long,trial_n20,8
0,24,short,trial_n1,6
1,24,long,trial_n2,3
2,24,short,trial_n3,2
3,24,long,trial_n4,3
4,24,short,trial_n5,4
5,24,long,trial_n6,5
6,24,short,trial_n7,4
7,24,long,trial_n8,3
8,24,short,trial_n9,6
9,24,long,trial_n10,4
10,24,short,trial_n11,6
11,24,long,trial_n12,4
12,24,short,trial_n13,3
13,24,long,trial_n14,5
14,24,short,trial_n15,4
15,24,long,trial_n16,7
16,24,short,trial_n17,5
17,24,long,trial_n18,3
18,24,short,trial_n19,6
19,24,long,trial_n20,5
0,25,short,trial_n1,4
1,25,long,trial_n2,2
2,25,short,trial_n3,7
3,25,long,trial_n4,5
4,25,short,trial_n5,4
5,25,long,trial_n6,2
6,25,short,trial_n7,4
7,25,long,trial_n8,3
8,25,short,trial_n9,5
9,25,long,trial_n10,4
10,25,short,trial_n11,5
11,25,long,trial_n12,6
12,25,short,trial_n13,3
13,25,long,trial_n14,4
14,25,short,trial_n15,5
15,25,long,trial_n16,5
16,25,short,trial_n17,2
17,25,long,trial_n18,1
18,25,short,trial_n19,3
19,25,long,trial_n20,3
