participant,condition,rt,lang,sex
1,incongruent,266.8816202326454,pol,K
1,congruent,398.04764158977616,pol,K
1,congruent,273.19049990993494,pol,K
1,incongruent,348.2475894788037,pol,K
1,congruent,331.3872302606886,pol,K
1,incongruent,418.6956169085075,pol,K
1,congruent,212.64580798402207,pol,K
2,incongruent,475.6030627725245,pol,M
2,incongruent,292.883264187366,pol,M
2,congruent,556.4304819441065,pol,M
2,incongruent,477.6487565043619,pol,M
2,incongruent,459.9689897427122,pol,M
2,incongruent,356.2417202565587,pol,M
2,incongruent,339.7134680987552,pol,M
2,incongruent,547.9183008941371,pol,M
2,congruent,324.20947921425477,pol,M
2,congruent,390.2111575084516,pol,M
2,incongruent,397.48413888649,pol,M
2,incongruent,389.448273850252,pol,M
2,congruent,531.5538471056925,pol,M
2,incongruent,209.54064038743024,pol,M
2,incongruent,410.00371547187035,pol,M
2,congruent,250.78727280479785,pol,M
2,congruent,495.2128547550767,pol,M
2,incongruent,376.1167508215183,pol,M
2,incongruent,464.6749786646049,pol,M
2,congruent,357.08630025971786,pol,M
2,congruent,432.09881712598985,pol,M
2,incongruent,215.15976499471134,pol,M
2,incongruent,534.5516571765178,pol,M
2,incongruent,401.4010012093635,pol,M
2,congruent,339.22640672754767,pol,M
2,incongruent,261.5562847019212,pol,M
2,incongruent,262.0842637349573,pol,M
2,congruent,343.6843178056938,pol,M
2,incongruent,435.67091076888875,pol,M
2,incongruent,336.50731557749754,pol,M
2,incongruent,262.760265512408,pol,M
2,congruent,337.8859856721226,pol,M
2,incongruent,262.66036747651856,pol,M
2,congruent,295.51715227212827,pol,M
2,incongruent,349.33339731990924,pol,M
2,congruent,473.34344746946545,pol,M
2,incongruent,438.56522745343716,pol,M
2,incongruent,743.3931122851977,pol,M
2,congruent,162.4421438916043,pol,M
2,congruent,208.70777608016,pol,M
2,incongruent,352.7631959378657,pol,M
2,incongruent,206.80942987899675,pol,M
2,incongruent,251.85085906286292,pol,M
2,incongruent,350.3641530844979,pol,M
2,incongruent,383.6369241770841,pol,M
2,congruent,300.66079621558515,pol,M
2,congruent,247.4665891953103,pol,M
2,congruent,267.0442298916637,pol,M
2,incongruent,440.867317354515,pol,M
2,incongruent,149.03414306689308,pol,M
2,incongruent,379.8548268076416,pol,M
2,incongruent,563.2301359995951,pol,M
2,incongruent,353.22942466451263,pol,M
2,congruent,360.7058747497619,pol,M
2,incongruent,357.71741050106596,pol,M
2,congruent,227.65017317608994,pol,M
2,congruent,374.3134533143594,pol,M
2,incongruent,437.59069346435615,pol,M
2,congruent,306.74153451557925,pol,M
2,congruent,132.30813961540224,pol,M
2,congruent,265.0230544340005,pol,M
2,congruent,268.4435062599832,pol,M
2,congruent,508.5554953458788,pol,M
2,congruent,350.00070713590065,pol,M
2,congruent,592.9565114618595,pol,M
2,congruent,287.3421378265278,pol,M
2,congruent,336.8005433545337,pol,M
2,congruent,216.30030306353854,pol,M
2,incongruent,231.13821925839625,pol,M
2,incongruent,520.9505743939933,pol,M
2,incongruent,630.821308102876,pol,M
2,incongruent,250.20806485783925,pol,M
2,congruent,411.6346305706437,pol,M
2,incongruent,359.0811494774284,pol,M
2,congruent,362.0836154260407,pol,M
2,incongruent,285.6730540286131,pol,M
2,congruent,324.2756093416634,pol,M
2,incongruent,452.24756778104404,pol,M
2,incongruent,362.26433014213376,pol,M
2,incongruent,459.64626382809274,pol,M
2,congruent,323.96030436838475,pol,M
2,congruent,172.79039766756165,pol,M
2,incongruent,297.99029199052796,pol,M
2,congruent,252.99973360371115,pol,M
2,incongruent,203.22920638374762,pol,M
2,congruent,184.95156787702803,pol,M
2,congruent,232.22502236321796,pol,M
2,congruent,310.44760642126056,pol,M
2,incongruent,240.87713824743935,pol,M
2,congruent,261.7318786107251,pol,M
2,incongruent,616.0183541344554,pol,M
2,congruent,235.33050957689903,pol,M
2,congruent,247.94551453020824,pol,M
2,congruent,585.968978727027,pol,M
2,congruent,272.1357032944976,pol,M
2,congruent,646.1322844602332,pol,M
2,congruent,454.2379384986459,pol,M
2,congruent,260.36630568311097,pol,M
2,congruent,383.19386827229675,pol,M
2,congruent,369.52428010388667,pol,M
3,congruent,322.2060059771581,pol,K
3,congruent,275.7415918178984,pol,K
3,congruent,351.93907194875703,pol,K
3,incongruent,316.74676623404804,pol,K
3,incongruent,288.9024813626335,pol,K
3,congruent,228.57600669419935,pol,K
3,congruent,428.95712497728044,pol,K
3,congruent,416.62941675022535,pol,K
3,congruent,206.20264749441745,pol,K
3,congruent,312.0087348422487,pol,K
3,incongruent,766.0507280893644,pol,K
3,incongruent,273.3914679054367,pol,K
3,incongruent,238.6301959514823,pol,K
3,congruent,318.69729744652483,pol,K
3,congruent,221.90412168649672,pol,K
3,incongruent,230.5410060311787,pol,K
3,incongruent,365.3060225161868,pol,K
3,incongruent,576.388140731198,pol,K
3,incongruent,336.5872149089614,pol,K
3,congruent,319.1278558128731,pol,K
3,incongruent,880.1835376277439,pol,K
3,congruent,385.1052781082341,pol,K
3,congruent,223.5556152031215,pol,K
3,incongruent,846.6130996547961,pol,K
3,congruent,239.2091676093878,pol,K
3,congruent,730.4306021846843,pol,K
3,incongruent,254.59262347484767,pol,K
3,congruent,520.3241581979003,pol,K
3,incongruent,270.1718701170575,pol,K
3,incongruent,280.27861083684826,pol,K
3,incongruent,309.82389761171817,pol,K
3,congruent,350.4397788735995,pol,K
3,congruent,247.10682160721734,pol,K
3,incongruent,357.0872301095111,pol,K
3,congruent,347.8749058928888,pol,K
3,congruent,243.58697564365207,pol,K
3,incongruent,447.6178967460804,pol,K
3,congruent,256.31968307784695,pol,K
3,congruent,238.41823735704097,pol,K
3,incongruent,341.06341750393585,pol,K
3,congruent,322.51091086276193,pol,K
3,congruent,345.0089389647416,pol,K
3,congruent,358.37065234903355,pol,K
3,incongruent,466.1389201179312,pol,K
3,incongruent,254.06215643996336,pol,K
3,congruent,329.70337168114156,pol,K
3,incongruent,231.64755812922334,pol,K
3,incongruent,606.0864317542789,pol,K
3,incongruent,227.33995346422296,pol,K
3,congruent,291.9661305623913,pol,K
3,incongruent,278.6826485835322,pol,K
3,congruent,526.3675613868305,pol,K
3,incongruent,317.3486682561043,pol,K
3,congruent,454.13106620647386,pol,K
3,congruent,297.93235509002886,pol,K
3,incongruent,250.7137272966292,pol,K
3,congruent,150.95077610072076,pol,K
3,congruent,244.42560758743633,pol,K
3,congruent,202.9998481336057,pol,K
3,incongruent,706.200250423658,pol,K
3,incongruent,405.9123589747059,pol,K
3,congruent,259.2752834279972,pol,K
3,congruent,204.0505066193918,pol,K
3,incongruent,453.4549012897012,pol,K
3,incongruent,284.30821083562375,pol,K
3,congruent,320.1877588160401,pol,K
3,incongruent,223.73159379041215,pol,K
3,incongruent,346.22378548755216,pol,K
3,incongruent,414.08753453342877,pol,K
3,congruent,497.04569207316365,pol,K
3,incongruent,405.1168239158046,pol,K
3,incongruent,250.68912930581735,pol,K
3,incongruent,365.5483613306743,pol,K
3,congruent,519.2610514905206,pol,K
3,congruent,398.56108026376194,pol,K
3,incongruent,709.1873536288972,pol,K
3,congruent,601.5423947489779,pol,K
3,incongruent,562.539632126321,pol,K
3,incongruent,352.8014942436211,pol,K
3,incongruent,233.48090309743787,pol,K
3,incongruent,226.97502573956496,pol,K
3,congruent,330.3669253918045,pol,K
3,incongruent,188.89220761255393,pol,K
3,incongruent,659.1779232394182,pol,K
3,congruent,399.71232057830184,pol,K
3,incongruent,239.6118485260812,pol,K
3,incongruent,374.4331457597867,pol,K
3,congruent,215.41044859258315,pol,K
3,incongruent,265.3212168964463,pol,K
3,congruent,277.0598695296421,pol,K
3,congruent,538.5139565206865,pol,K
3,congruent,187.7482484853979,pol,K
3,incongruent,354.77464027352096,pol,K
3,incongruent,449.4567098488542,pol,K
3,incongruent,514.6947831334102,pol,K
3,congruent,305.9654560171798,pol,K
3,congruent,333.8558106653248,pol,K
3,congruent,356.38557877548124,pol,K
3,congruent,434.91949428481854,pol,K
3,incongruent,645.7052307425583,pol,K
4,congruent,315.8038426163081,pol,K
4,incongruent,339.2051278484071,pol,K
4,congruent,369.49581303929983,pol,K
4,incongruent,205.4733030095348,pol,K
4,incongruent,463.6439748799577,pol,K
4,incongruent,205.85495113429428,pol,K
4,incongruent,485.6973572496522,pol,K
4,incongruent,241.01215435449944,pol,K
4,congruent,260.1225223426551,pol,K
4,congruent,171.13394288169744,pol,K
4,congruent,451.3691348596122,pol,K
4,incongruent,390.84756201140044,pol,K
4,congruent,187.17090278240642,pol,K
4,incongruent,235.4460341761013,pol,K
4,congruent,172.52247125076875,pol,K
4,congruent,540.9653056083536,pol,K
4,incongruent,511.38788298206225,pol,K
4,congruent,368.45398479153056,pol,K
4,congruent,583.7683420288993,pol,K
4,incongruent,655.732943099888,pol,K
4,incongruent,464.308899460171,pol,K
4,incongruent,297.8674267857792,pol,K
4,congruent,430.1763953972595,pol,K
4,incongruent,305.50886820963785,pol,K
4,incongruent,524.3359150454517,pol,K
4,congruent,445.45444931549275,pol,K
4,congruent,388.0214309720417,pol,K
4,incongruent,392.3808040764337,pol,K
4,congruent,387.1403638271877,pol,K
4,incongruent,222.36936258241994,pol,K
4,incongruent,277.6542464835747,pol,K
4,congruent,242.58541700520195,pol,K
4,congruent,233.5951819340961,pol,K
4,congruent,192.15676521910956,pol,K
4,incongruent,286.56968043463144,pol,K
4,incongruent,399.37785704379564,pol,K
4,incongruent,388.53446352868275,pol,K
4,congruent,211.84465989741824,pol,K
4,incongruent,463.7115560327354,pol,K
4,congruent,194.98604947874708,pol,K
4,congruent,254.51324834912043,pol,K
4,congruent,328.8439340035343,pol,K
4,congruent,194.30796838211842,pol,K
4,congruent,185.3789278629445,pol,K
4,incongruent,416.04641289590677,pol,K
4,congruent,225.2033113176008,pol,K
4,congruent,582.6397012141097,pol,K
4,congruent,309.6146239369133,pol,K
4,incongruent,356.43119030164775,pol,K
4,incongruent,258.53089083158227,pol,K
4,congruent,235.1082543601171,pol,K
4,congruent,492.87568053027223,pol,K
4,incongruent,425.48601992134957,pol,K
4,incongruent,232.37916422333498,pol,K
4,incongruent,419.9714327948243,pol,K
4,incongruent,495.3438681964378,pol,K
4,incongruent,442.9331740646991,pol,K
4,congruent,83.84656695840447,pol,K
4,congruent,237.62064602726122,pol,K
4,incongruent,389.39953570186526,pol,K
4,incongruent,523.3218248807447,pol,K
4,incongruent,264.51818672513014,pol,K
4,incongruent,497.68289011482807,pol,K
4,incongruent,393.4938181636071,pol,K
4,incongruent,345.2101201702583,pol,K
4,incongruent,402.633731156829,pol,K
4,incongruent,770.1424627095635,pol,K
4,congruent,263.5413390394628,pol,K
4,incongruent,288.3139285376385,pol,K
4,congruent,434.84584943220705,pol,K
4,congruent,303.9763795843103,pol,K
4,incongruent,360.6024700300943,pol,K
4,congruent,538.0527650679687,pol,K
4,incongruent,371.9614409574822,pol,K
4,congruent,439.25351369432246,pol,K
4,congruent,548.1042775822206,pol,K
4,incongruent,359.9920490495601,pol,K
4,congruent,404.21883150437475,pol,K
4,incongruent,494.8558516502086,pol,K
4,incongruent,699.1372352766673,pol,K
4,congruent,295.66443778225437,pol,K
4,congruent,289.13444770668514,pol,K
4,incongruent,210.46183755551388,pol,K
4,congruent,278.2359157142099,pol,K
4,congruent,459.5034143510703,pol,K
4,incongruent,369.5091936394583,pol,K
4,incongruent,384.4324179913924,pol,K
4,congruent,700.3003549939134,pol,K
4,incongruent,450.64454087754405,pol,K
4,congruent,643.5515416890735,pol,K
4,incongruent,394.6656253037638,pol,K
4,congruent,279.5297798485668,pol,K
4,congruent,215.61597305815036,pol,K
4,congruent,306.4209710711947,pol,K
4,congruent,598.9010821613692,pol,K
4,congruent,406.19867271163616,pol,K
4,incongruent,330.77954642386214,pol,K
4,congruent,96.77608715063324,pol,K
4,incongruent,454.9038053760331,pol,K
4,congruent,311.05712871979796,pol,K
5,congruent,479.6280161979163,pol,K
5,congruent,382.871054995952,pol,K
5,incongruent,367.1741533432912,pol,K
5,congruent,286.35396073855577,pol,K
5,congruent,274.80191570574334,pol,K
5,incongruent,527.6192562619191,pol,K
5,incongruent,362.7825965634898,pol,K
5,congruent,481.2668610943432,pol,K
5,incongruent,364.60709891904486,pol,K
5,congruent,625.2472020949531,pol,K
5,congruent,235.45443904104448,pol,K
5,congruent,302.7223189604374,pol,K
5,incongruent,421.1226264633126,pol,K
5,incongruent,375.0126874892488,pol,K
5,incongruent,250.42680207563913,pol,K
5,incongruent,422.52525059341815,pol,K
5,congruent,356.4100408305393,pol,K
5,congruent,204.7759839074777,pol,K
5,congruent,296.52124697110185,pol,K
5,incongruent,270.5561754972894,pol,K
5,congruent,328.54205215769264,pol,K
5,incongruent,354.6860670776581,pol,K
5,congruent,225.0138310337711,pol,K
5,incongruent,522.8560293514165,pol,K
5,congruent,411.0447293222264,pol,K
5,congruent,165.01792203415343,pol,K
5,incongruent,279.59427507022764,pol,K
5,incongruent,673.9072381675811,pol,K
5,congruent,293.693140721993,pol,K
5,congruent,692.5505657505951,pol,K
5,incongruent,174.39461620829377,pol,K
5,incongruent,294.53310654329385,pol,K
5,incongruent,655.1325594943843,pol,K
5,incongruent,257.66308304531157,pol,K
5,incongruent,433.72550445896314,pol,K
5,incongruent,251.76785666575523,pol,K
5,incongruent,281.9900250086257,pol,K
5,incongruent,238.74870779815396,pol,K
5,incongruent,798.7444082635798,pol,K
5,incongruent,254.2262195400531,pol,K
5,incongruent,350.4745629776647,pol,K
5,congruent,208.31602126896098,pol,K
5,congruent,607.453544690125,pol,K
5,congruent,344.11774824513304,pol,K
5,congruent,174.69836460224312,pol,K
5,congruent,302.3929381889602,pol,K
5,incongruent,500.32886738785396,pol,K
5,incongruent,398.0084430030349,pol,K
5,congruent,287.5238057078261,pol,K
5,congruent,414.50669130594525,pol,K
5,congruent,233.2246419531698,pol,K
5,congruent,257.16782534918764,pol,K
5,congruent,316.82443470205396,pol,K
5,incongruent,521.1885772237563,pol,K
5,incongruent,388.23816027710484,pol,K
5,incongruent,499.3639347664715,pol,K
5,incongruent,331.3594829116713,pol,K
5,congruent,450.5472251203728,pol,K
5,congruent,363.54245888346236,pol,K
5,incongruent,384.7556894392694,pol,K
5,incongruent,560.7694989592113,pol,K
5,congruent,244.10696682467312,pol,K
5,congruent,212.9908420083086,pol,K
5,incongruent,328.8583504782366,pol,K
5,congruent,364.71084285884496,pol,K
5,incongruent,304.2455292718185,pol,K
5,congruent,299.2621902318269,pol,K
5,incongruent,354.4310603487655,pol,K
5,congruent,177.77761325817465,pol,K
5,incongruent,472.8402957630352,pol,K
5,congruent,253.54307306578795,pol,K
5,incongruent,398.9784097435945,pol,K
5,congruent,203.70344832037995,pol,K
5,congruent,183.2043642216192,pol,K
5,congruent,389.0031275568615,pol,K
5,incongruent,488.6874929275946,pol,K
5,incongruent,657.562472130183,pol,K
5,incongruent,572.1621755023023,pol,K
5,congruent,160.7641924363772,pol,K
5,congruent,311.3093846431862,pol,K
5,incongruent,337.52705258083574,pol,K
5,congruent,487.1692534970474,pol,K
5,incongruent,580.8336187529276,pol,K
5,incongruent,552.451003178428,pol,K
5,incongruent,453.29549445161325,pol,K
5,incongruent,418.9196634350302,pol,K
5,incongruent,456.0801661131498,pol,K
5,congruent,155.35064373540067,pol,K
5,congruent,178.68590603926617,pol,K
5,incongruent,56.25326119315129,pol,K
5,congruent,250.18000590853075,pol,K
5,congruent,442.7285144210614,pol,K
5,incongruent,423.04117864406675,pol,K
5,congruent,311.5730110430293,pol,K
5,congruent,359.0669393756309,pol,K
5,congruent,413.86861690708133,pol,K
5,incongruent,223.46229448411628,pol,K
5,incongruent,296.7072068137744,pol,K
5,congruent,302.3802312729361,pol,K
5,congruent,388.6033320277209,pol,K
6,congruent,381.96266506110675,pol,M
6,incongruent,343.62594887145514,pol,M
6,incongruent,246.08007237195284,pol,M
6,congruent,489.28879559784014,pol,M
6,congruent,354.8736069005036,pol,M
6,congruent,101.75814265182248,pol,M
6,congruent,253.578576232957,pol,M
6,incongruent,241.72363764282534,pol,M
6,congruent,183.87509013634877,pol,M
6,incongruent,661.3694179495783,pol,M
6,incongruent,442.3944891060283,pol,M
6,congruent,306.32071752841546,pol,M
6,congruent,324.47198363383984,pol,M
6,congruent,577.8723768904613,pol,M
6,congruent,194.31957438843386,pol,M
6,incongruent,416.52454050352196,pol,M
6,incongruent,404.9184361911872,pol,M
6,incongruent,460.13073016295607,pol,M
6,congruent,476.46294272051625,pol,M
6,congruent,209.95992366045664,pol,M
6,incongruent,162.88562954897645,pol,M
6,congruent,380.7973961367883,pol,M
6,congruent,281.35462268107307,pol,M
6,incongruent,605.9344043685219,pol,M
6,congruent,293.92199326029464,pol,M
6,incongruent,402.49068823824587,pol,M
6,congruent,412.11142498598747,pol,M
6,incongruent,332.9609207525765,pol,M
6,incongruent,564.1648584473413,pol,M
6,congruent,385.7149540467898,pol,M
6,incongruent,121.90774366933503,pol,M
6,incongruent,446.0116490109584,pol,M
6,congruent,372.1953350022462,pol,M
6,congruent,204.04308360105134,pol,M
6,congruent,225.85534907033053,pol,M
6,incongruent,212.83353312691912,pol,M
6,incongruent,531.6494977276718,pol,M
6,incongruent,791.9419885766515,pol,M
6,incongruent,357.2912251253401,pol,M
6,incongruent,664.2257749251118,pol,M
6,congruent,465.1112044537767,pol,M
6,congruent,256.91184785330665,pol,M
6,congruent,446.8481244668623,pol,M
6,incongruent,315.5399228559583,pol,M
6,congruent,191.60125705967437,pol,M
6,congruent,282.46163490039805,pol,M
6,incongruent,418.95642102410585,pol,M
6,congruent,398.47854108098556,pol,M
6,congruent,253.8198908593107,pol,M
6,incongruent,325.83498498176425,pol,M
6,congruent,450.1916211957092,pol,M
6,incongruent,465.0317423560997,pol,M
6,congruent,251.67680633532603,pol,M
6,congruent,423.5178363841354,pol,M
6,incongruent,138.52794355132605,pol,M
6,congruent,232.81196601170586,pol,M
6,congruent,287.7445557101287,pol,M
6,incongruent,341.185403418023,pol,M
6,congruent,264.1191108386996,pol,M
6,incongruent,300.31822215073026,pol,M
6,congruent,362.94068096874486,pol,M
6,incongruent,256.7587659242655,pol,M
6,congruent,169.58087223656958,pol,M
6,incongruent,180.56935687059777,pol,M
6,congruent,366.01850088540596,pol,M
6,congruent,176.26518781057416,pol,M
6,congruent,259.9687362598698,pol,M
6,incongruent,305.99542566861385,pol,M
6,incongruent,617.8310299256711,pol,M
6,incongruent,295.16639488739065,pol,M
6,congruent,436.1722650206938,pol,M
6,congruent,347.1628865930704,pol,M
6,incongruent,261.1458530318056,pol,M
6,incongruent,312.93002095263375,pol,M
6,congruent,359.64650287849935,pol,M
6,incongruent,522.7308904821335,pol,M
6,incongruent,632.2058304763736,pol,M
6,incongruent,326.3333492342906,pol,M
6,congruent,528.5663806278652,pol,M
6,incongruent,275.440777719886,pol,M
6,congruent,207.54182084912372,pol,M
6,incongruent,301.8251509580517,pol,M
6,incongruent,474.4728258902006,pol,M
6,incongruent,425.8033780373138,pol,M
6,congruent,608.3179885133725,pol,M
6,incongruent,407.85684631305105,pol,M
6,incongruent,359.8394644162689,pol,M
6,congruent,905.8838172002593,pol,M
6,congruent,297.40927392559763,pol,M
6,congruent,419.3248759794931,pol,M
6,incongruent,180.77374387419835,pol,M
6,incongruent,215.93309720365224,pol,M
6,incongruent,375.6809650628059,pol,M
6,congruent,149.64324763011842,pol,M
6,congruent,402.374535870316,pol,M
6,incongruent,592.1196890693698,pol,M
6,congruent,351.3294169995148,pol,M
6,incongruent,594.7596725187335,pol,M
6,incongruent,222.29265991064506,pol,M
6,incongruent,511.0487293409079,pol,M
7,congruent,410.84680408873146,pol,K
7,incongruent,233.88345057332427,pol,K
7,congruent,502.4991543432814,pol,K
7,congruent,436.1642710004699,pol,K
7,congruent,260.3263682282247,pol,K
7,incongruent,295.08117654126477,pol,K
7,congruent,181.53168063864567,pol,K
7,incongruent,219.1851559364482,pol,K
7,congruent,421.36794248666547,pol,K
7,congruent,630.2776367693482,pol,K
7,congruent,173.16840639088963,pol,K
7,incongruent,479.59973114323134,pol,K
7,congruent,722.0137523575413,pol,K
7,incongruent,311.1621023572519,pol,K
7,incongruent,436.1124088994602,pol,K
7,congruent,248.85794671073876,pol,K
7,incongruent,327.4245890010575,pol,K
7,incongruent,257.23145759484714,pol,K
7,congruent,457.47158532695073,pol,K
7,congruent,118.4022066285157,pol,K
7,incongruent,721.1341732645767,pol,K
7,incongruent,335.65087727051025,pol,K
7,incongruent,427.6014642968934,pol,K
7,congruent,406.8907931338562,pol,K
7,incongruent,138.40857731643686,pol,K
7,congruent,275.1653825715785,pol,K
7,incongruent,304.27252598501536,pol,K
7,incongruent,257.3003191174128,pol,K
7,incongruent,396.6834207776605,pol,K
7,incongruent,452.31214191792793,pol,K
7,congruent,248.61747257347162,pol,K
7,incongruent,314.47517025160954,pol,K
7,incongruent,360.580519855349,pol,K
7,congruent,110.38795372026499,pol,K
7,congruent,525.598209430795,pol,K
7,incongruent,276.21199992304537,pol,K
7,incongruent,319.96847422756116,pol,K
7,incongruent,486.2258115929608,pol,K
7,incongruent,383.93511929977655,pol,K
7,congruent,451.5633503953364,pol,K
7,congruent,387.59114081440475,pol,K
7,congruent,338.1569628071676,pol,K
7,incongruent,563.7866967699375,pol,K
7,incongruent,536.3303948657739,pol,K
7,incongruent,320.71557001674836,pol,K
7,congruent,320.592639370225,pol,K
7,incongruent,194.64855607853713,pol,K
7,congruent,379.437218782116,pol,K
7,congruent,291.1495714706608,pol,K
7,incongruent,246.68735679827992,pol,K
7,congruent,218.43391325128312,pol,K
7,incongruent,900.8763635344555,pol,K
7,congruent,377.07286963773,pol,K
7,incongruent,368.2454698116829,pol,K
7,incongruent,234.40908827419838,pol,K
7,congruent,558.4410361535133,pol,K
7,incongruent,232.17358794756575,pol,K
7,congruent,389.06255776928106,pol,K
7,incongruent,189.99870166607366,pol,K
7,incongruent,455.4878831050054,pol,K
7,incongruent,272.4773724378785,pol,K
7,congruent,337.61723278530627,pol,K
7,congruent,272.96024655666275,pol,K
7,congruent,357.7912479473604,pol,K
7,incongruent,312.8502353710024,pol,K
7,incongruent,348.6755320295714,pol,K
7,congruent,347.6406437194687,pol,K
7,congruent,264.29503141600986,pol,K
7,congruent,271.5772434919663,pol,K
7,incongruent,463.50513232998156,pol,K
7,congruent,332.1389391249604,pol,K
7,incongruent,596.8822039523961,pol,K
7,incongruent,647.907793462634,pol,K
7,congruent,438.9132367879491,pol,K
7,incongruent,375.702134372316,pol,K
7,congruent,238.74554523230287,pol,K
7,incongruent,329.364934028454,pol,K
7,congruent,492.7488352691908,pol,K
7,incongruent,378.95110996899524,pol,K
7,congruent,241.0302086341445,pol,K
7,congruent,191.44076255276332,pol,K
7,incongruent,323.986289042232,pol,K
7,congruent,172.81660847474163,pol,K
7,congruent,573.4235788556789,pol,K
7,congruent,536.7285770110138,pol,K
7,congruent,277.99204480947697,pol,K
7,congruent,546.1343086503122,pol,K
7,incongruent,182.5279398507586,pol,K
7,incongruent,305.6383219460825,pol,K
7,congruent,333.87689098718,pol,K
7,incongruent,464.2919825613236,pol,K
7,congruent,325.523220134393,pol,K
7,incongruent,677.8005636269536,pol,K
7,incongruent,247.34139129695805,pol,K
7,congruent,696.7026914342036,pol,K
7,incongruent,168.539591657183,pol,K
7,congruent,339.9787276247466,pol,K
7,incongruent,428.9763235010972,pol,K
7,congruent,249.01339916291164,pol,K
7,congruent,326.91350751459316,pol,K
8,congruent,309.4960882906999,pol,K
8,incongruent,203.85002510268396,pol,K
8,incongruent,208.02035429708206,pol,K
8,incongruent,424.2787163009136,pol,K
8,incongruent,311.7840597364751,pol,K
8,incongruent,397.17585536087,pol,K
8,incongruent,363.52722119845816,pol,K
8,incongruent,334.2447231216454,pol,K
8,congruent,303.6122374561437,pol,K
8,incongruent,437.4061840126719,pol,K
8,congruent,169.68791118343844,pol,K
8,congruent,314.78088989098694,pol,K
8,congruent,302.486558792097,pol,K
8,congruent,365.33521343407335,pol,K
8,incongruent,385.5087707227841,pol,K
8,incongruent,470.32221418613904,pol,K
8,congruent,236.15548163802856,pol,K
8,congruent,417.58608860625804,pol,K
