,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MID,u_warm,u_gn,u_sincere,u_friendly,u_wi,u_trustworthy,u_competent,u_confident,u_intel,u_capable,u_efficient,u_skillful,uval,t_warm,t_gn,t_sincere,t_friendly,t_wi,t_trustworthy,t_competent,t_confident,t_intel,t_capable,t_efficient,t_skillful,tval,Q29,age,gender
10,R_di1fbaj2f8Hn3Pn,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:00:14,2014-08-04 09:12:14,1.0,removed,,,,,,,,,,,,,,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,35.0,2.0
11,R_bllEwBcM46znZzf,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:00:35,2014-08-04 09:05:54,1.0,removed,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,,,,,,,,,,,,,,1.0,41.0,2.0
12,R_72rVu80kPDc9ra5,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:00:51,2014-08-04 09:03:40,1.0,removed,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,7.0,1.0,27.0,1.0
13,R_7TVjspCQnpiLvqB,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:01:46,2014-08-04 09:08:52,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,1.0,35.0,1.0
14,R_6P45CZf71JDjrjT,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:03:23,2014-08-04 09:09:48,1.0,removed,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,6.0,,,,,,,,,,,,,,1.0,28.0,1.0
15,R_8C9szT3SwgyWGOx,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:04:32,2014-08-04 09:08:22,1.0,removed,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,6.0,1.0,20.0,2.0
16,R_0SWLsOTz2TGJmLz,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:04:33,2014-08-04 09:14:35,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,,,1.0,51.0,2.0
17,R_e4p1Mn8LWNb3qXb,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:04:48,2014-08-04 09:11:00,1.0,removed,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,,,,,,,,,,,,,,1.0,32.0,1.0
18,R_ba6yKkQrOw09d1b,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:05:27,2014-08-04 09:14:01,1.0,removed,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,7.0,,,,,,,,,,,,,,1.0,26.0,1.0
19,R_3dYkF3RKpH3wszX,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:06:49,2014-08-04 09:10:17,1.0,removed,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,1.0,39.0,1.0
20,R_4GFBRDGWd4xcjit,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:07:25,2014-08-04 09:12:48,1.0,removed,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,1.0,29.0,3.0
21,R_8kyT6XCflYd2fsN,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:07:56,2014-08-04 09:15:51,1.0,removed,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,34.0,1.0
22,R_3r99e6AVKecTYsR,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:08:09,2014-08-04 09:21:33,1.0,removed,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,,,,,,,,,,,,,,1.0,30.0,2.0
23,R_37CteYwWdHWw0nz,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:08:37,2014-08-04 09:12:41,1.0,removed,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,47.0,1.0
24,R_cY0Oou2fr9xg9i5,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:09:10,2014-08-04 09:14:52,1.0,removed,,,,,,,,,,,,,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,1.0,33.0,1.0
25,R_3qjRo1M1TBm2XT7,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:09:42,2014-08-04 09:12:49,1.0,removed,,,,,,,,,,,,,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,21.0,1.0
26,R_4ScewWLYoaxeeUd,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:09:43,2014-08-04 09:14:43,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,1.0,26.0,1.0
27,R_eeruwl2oGWtKwcJ,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:09:51,2014-08-04 09:15:12,1.0,removed,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,1.0,30.0,1.0
28,R_5dqkdBhevz3kgoR,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:10:13,2014-08-04 09:16:24,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,1.0,37.0,1.0
29,R_aVJl7V7S61WLNJ3,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:11:25,2014-08-04 09:13:37,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,33.0,1.0
30,R_cTTkI0h4G6TL3yR,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:11:54,2014-08-04 09:17:06,1.0,removed,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,6.0,1.0,28.0,1.0
31,R_9AAdYn9mtELMgCh,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:12:04,2014-08-04 09:17:41,1.0,removed,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,,,,,,,,,,,,1.0,54.0,1.0
32,R_cwt1tT0NGtj5qXr,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:12:34,2014-08-04 09:17:27,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,6.0,1.0,37.0,1.0
33,R_aWfCBSQ2lf19LX7,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:13:51,2014-08-04 09:17:26,1.0,removed,,,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,22.0,1.0
34,R_23wpCtfhzpDi6S9,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:15:08,2014-08-04 09:22:34,1.0,removed,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,56.0,2.0
35,R_2b3meEjmwiZ7miF,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:15:29,2014-08-04 09:18:13,1.0,removed,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,,,,,,,,,,,,,,1.0,46.0,1.0
36,R_6lqYSFdvoJk1yaF,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:16:13,2014-08-04 09:23:04,1.0,removed,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,,,,,,,,,,,,1.0,41.0,1.0
37,R_8Gq5gIklLlOxUzz,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:16:52,2014-08-04 09:23:41,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,55.0,1.0
38,R_23KfRBfsmTIyxyB,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:17:13,2014-08-04 09:23:39,1.0,removed,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,7.0,,,,,,,,,,,,,,1.0,27.0,1.0
39,R_da3oh8nxpiZqOZD,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:17:16,2014-08-04 09:21:01,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,,,,,,,,,,,,,,1.0,19.0,1.0
40,R_73Pnk91TWCsOZo1,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:17:21,2014-08-04 09:22:18,1.0,removed,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,34.0,1.0
41,R_0NTDo5ENSiigeDH,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:19:17,2014-08-04 09:22:19,0.0,removed,,,,,,,,,,,,,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,1.0,32.0,2.0
42,R_8GpL2WtSFmmPZch,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:19:38,2014-08-04 09:24:10,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,32.0,2.0
43,R_eG6YkGbhDL1SQDP,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:19:43,2014-08-04 09:24:41,1.0,removed,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,,,,,,,,,,,,,,1.0,24.0,1.0
44,R_cLOaVnREjAFWYGp,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:27:13,2014-08-04 09:31:31,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,27.0,1.0
45,R_8G6NTkXGnMOxCMB,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:27:37,2014-08-04 09:32:28,1.0,removed,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,1.0,25.0,1.0
46,R_etv6uaCVpAFVMCV,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:27:59,2014-08-04 09:34:38,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,32.0,1.0
47,R_5vYMJjKVU8szX4F,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:33:07,2014-08-04 09:37:34,1.0,removed,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,,,,,,,,,,,,,,1.0,28.0,2.0
48,R_5jMSTLd1rFJIuSp,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:35:26,2014-08-04 09:41:06,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,1.0,29.0,2.0
49,R_6J60DEYEqmYusOp,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:39:13,2014-08-04 09:48:53,1.0,removed,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,33.0,1.0
50,R_bI0vdiNEbjq14K9,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:41:04,2014-08-04 09:44:45,1.0,removed,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,38.0,2.0
51,R_1AYqbSwLqnj8GTH,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:41:33,2014-08-04 09:48:02,1.0,removed,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,,,,,,,,,,,,,,1.0,24.0,1.0
52,R_5msnRB7Lw9fyL53,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:47:08,2014-08-04 09:49:05,1.0,removed,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,30.0,1.0
53,R_4OUkqAN2sP3rvrT,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:47:23,2014-08-04 09:50:31,1.0,removed,1.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,,,,,,,,,,,,,,1.0,24.0,1.0
54,R_8vuQLjJjhfDBOWV,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:47:28,2014-08-04 09:50:13,1.0,removed,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,,,,,,,,,,,,,,1.0,32.0,2.0
55,R_8voIeyGjO05flNH,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:51:55,2014-08-04 09:54:34,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,49.0,1.0
56,R_8bL4gMDZUwktzo1,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:53:18,2014-08-04 09:58:31,1.0,removed,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,34.0,2.0
57,R_6RVgTAgG7o43dcN,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:53:37,2014-08-04 09:57:12,1.0,removed,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,,,,,,,,,,,,,,1.0,28.0,2.0
58,R_cSFQXxZ7qxCARGl,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:58:23,2014-08-04 10:05:37,1.0,removed,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,1.0,30.0,1.0
59,R_3sKCkERCKkaCWEJ,Default Response Set,Anonymous,,,removed,0,2014-08-04 09:58:57,2014-08-04 10:02:23,1.0,removed,,,,,,,,,,,,,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,49.0,2.0
60,R_etTT9sPAGTq5dkh,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:08:39,2014-08-04 10:11:50,1.0,removed,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,31.0,2.0
61,R_3yjuYXTbrf9X1FH,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:10:33,2014-08-04 10:14:12,1.0,removed,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,,,,,,,,,,,,,,1.0,29.0,1.0
62,R_20hhAEGh5M1CJN3,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:10:44,2014-08-04 10:15:15,1.0,removed,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,22.0,1.0
63,R_8CkC3azwX0QP4QB,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:14:22,2014-08-04 10:20:02,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,7.0,1.0,34.0,1.0
64,R_78mFz57z2e7y861,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:18:14,2014-08-04 10:21:44,1.0,removed,3.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,1.0,23.0,1.0
65,R_3lqBVhf2pwEfDGB,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:20:59,2014-08-04 10:24:59,1.0,removed,,,,,,,,,,,,,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,31.0,2.0
66,R_1RqEhbbiLhTqTS5,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:24:02,2014-08-04 10:37:14,1.0,removed,,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,1.0,25.0,2.0
67,R_8hT1VWDtqno0LEF,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:25:38,2014-08-04 10:29:52,1.0,removed,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,1.0,46.0,2.0
68,R_3aDW8UaVYL4bxFX,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:31:34,2014-08-04 10:34:20,1.0,removed,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,31.0,2.0
69,R_9vKuREUw91FuCR7,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:42:19,2014-08-04 10:46:27,1.0,removed,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,,,,,,,,,,,,1.0,39.0,2.0
70,R_e4gDkpIFVnheLgp,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:44:00,2014-08-04 10:47:35,0.0,removed,,,,,,,,,,,,,,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,1.0,22.0,2.0
71,R_bklbsoOLihGc9sF,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:48:13,2014-08-04 10:54:42,1.0,removed,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,7.0,,,,,,,,,,,,,,1.0,37.0,1.0
72,R_0rII44kmVu4lEah,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:48:34,2014-08-04 10:55:47,1.0,removed,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,1.0,29.0,1.0
73,R_cImDo7BBLON5to9,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:50:13,2014-08-04 10:59:54,1.0,removed,,,,,,,,,,,,,,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,1.0,47.0,2.0
74,R_2aZBKSAjPQRaj8V,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:53:07,2014-08-04 10:57:24,1.0,removed,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,1.0,22.0,1.0
75,R_06CxhkB7a9lZqTP,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:53:55,2014-08-04 10:58:32,0.0,removed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,28.0,2.0
76,R_4G9obzj0njn2oS1,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:56:19,2014-08-04 11:01:17,1.0,removed,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,1.0,50.0,2.0
77,R_0jov5EQ5HbJ5HJr,Default Response Set,Anonymous,,,removed,0,2014-08-04 10:57:47,2014-08-04 11:00:39,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,20.0,1.0
78,R_5byiLOYH8s5ETu5,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:01:57,2014-08-04 11:08:11,1.0,removed,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,1.0,27.0,1.0
79,R_1BKIBOnuivP1Wex,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:03:01,2014-08-04 11:11:57,1.0,removed,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,1.0,33.0,1.0
80,R_0leK2ZU1NOMgCQ5,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:11:57,2014-08-04 11:17:22,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,26.0,2.0
81,R_39J7S7AoeuihJhb,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:52:43,2014-08-04 11:57:17,1.0,removed,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,23.0,1.0
82,R_aYsdFtXyMXV0I1n,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:54:16,2014-08-04 11:58:25,1.0,removed,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,44.0,1.0
83,R_7332Q6I6ksFqkHX,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:57:17,2014-08-04 12:07:23,1.0,removed,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,,,,,,,,,,,,,,1.0,35.0,1.0
84,R_6DRes6umll4jkHP,Default Response Set,Anonymous,,,removed,0,2014-08-04 11:58:58,2014-08-04 12:01:19,1.0,removed,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,1.0,47.0,2.0
85,R_0k62Jaj8YlGzznL,Default Response Set,Anonymous,,,removed,0,2014-08-04 12:05:44,2014-08-04 12:12:20,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,55.0,2.0
86,R_5zgidWpMW5eohc9,Default Response Set,Anonymous,,,removed,0,2014-08-04 12:15:13,2014-08-04 12:18:51,1.0,removed,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,,1.0,21.0,2.0
87,R_bKnFKx1aY2oNV6B,Default Response Set,Anonymous,,,removed,0,2014-08-04 12:24:20,2014-08-04 12:48:40,1.0,removed,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,7.0,1.0,26.0,2.0
88,R_1Ifq2lYzips6xOB,Default Response Set,Anonymous,,,removed,0,2014-08-04 12:48:36,2014-08-04 12:52:27,1.0,removed,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,6.0,1.0,37.0,1.0
89,R_bCswtEnxwiQR1m5,Default Response Set,Anonymous,,,removed,0,2014-08-04 12:53:13,2014-08-04 12:58:04,1.0,removed,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,,,1.0,27.0,1.0
90,R_1AoPFT0aSD1z5iJ,Default Response Set,Anonymous,,,removed,0,2014-08-04 13:37:23,2014-08-04 13:41:13,1.0,removed,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,6.0,,,,,,,,,,,,,,1.0,23.0,2.0
